Tweet,Suicide,Tweet_pt
Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,Not Suicide post,A mãe sempre queria que todos estivessem em casa antes do escurecer - como se qualquer coisa estivesse lá à noite e não durante o dia.
@gailia I think you'll do whatever you want.,Not Suicide post,@Gailia Acho que você vai fazer o que quiser.
@domselinakyle that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better forâ¦ https://t.co/oAh2tUnbXt,Potential Suicide post ,"@domselinakyle isso soa tão terrível assim como eu estava quando meu pai ainda morava comigo, mas espero que as coisas melhorem para você."
"@garry1bowie No, just one shortly before the soap awards judging starts....",Not Suicide post,"@Garry1Bowie Não, logo antes de começar a votação nos prêmios do sabonete..."
"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",Not Suicide post,"@swingie Acabou de ter uma conversa com @tonimassaar sobre como parece que estamos ""dependentes"" do internet e telefones móveis hoje em dia,"
"@jrkgirlnla Oh yes, I was reading that one",Not Suicide post,"@jrkgirlnla Ah, sim, eu estava lendo aquele"
My life is so miserable and it's not getting better.,Potential Suicide post ,Minha vida é tão miserável e não está melhorando.
"@LaPrincipessa you SAU! i stood up at 8. then off to offenbach, home. outside. sunshine. love you.",Not Suicide post,"@LaPrincipessa você é incrível! eu me levantei às 8h. Depois fui para Offenbach, de volta a casa. Fora. Sol. Amo você."
She is not tired.,Not Suicide post,Ela não está cansada.
RT @tamicakeyona: Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post ,"RT @tamicakeyona: Ser uma mãe solteira nunca fazia parte do plano, mas eu acordo todos os dias e faço meu trabalho."
"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers aâ¦ https://t.co/WQqDasF7n4",Potential Suicide post ,"Mas o que Bezos, de Blasio e Cuomo fizeram é entrar em nossa pequena cidade do Lego, derrubaram todas as nossas torres de Lego..."
I want money,Not Suicide post,Eu quero dinheiro
"@HeavenlyHev how was it, so I know what to expect?",Not Suicide post,@HeavenlyHev como foi? Quero saber para saber o que esperar.
Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,Not Suicide post,Mmm as habilidades culinárias da minha mãe têm melhorado muito. Cheira tão bom! Estou adorando comida caseira!
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post ,"Eu preciso me acalmar eu acabei de bater em moto hoje não sei como mas estou quase bem foi o momento mais bonito da minha vida eu sei que é loucura pensar assim mas senti ótimo ao ver as pessoas se aproximando para me ajudar após a queda a sensação do meu corpo sendo arrastado pela minha moto por vários metros no chão enquanto olhava para o céu e essa música tocava nos meus fones de ouvido há anos eu sinto uma falta que não tem nome não quero esse segundo chance eu quero montar na minha moto quebrada, levá-la a 100 km/h pela última vez e então acabar com tudo eu só não quero morrer mais por asfixia."
Brushin' mah teef. Secularly.,Not Suicide post,Escovando os meus dentes. Com frequência.
i'll be in london today. Wave if you see me,Not Suicide post,Vou estar em Londres hoje. Sinalize se você me vir.
@PeoplemapsJulie I am looking for the berocca then all will be well,Not Suicide post,@PeoplemapsJulie Estou procurando pelo Berocca então tudo estará bem
@nellypt Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,Not Suicide post,@nellypt Obrigada eu pensava que sim. Divulgue. Boa sorte! Adoro o seu trabalho!
i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the saâ¦ https://t.co/8hbfNffXii,Potential Suicide post ,Quero morrer. Não mereço uma parte de nada. Não pertenço a lugar algum. Estou cansado e doente de tudo.
I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body andâ¦ https://t.co/eXWykCGcrf,Potential Suicide post ,"Eu odeio minha família toda, eles só fazem com que eu sinta gordo e estou tão cansada de sentir mal sobre meu corpo e..."
@meerajane I luv your blog too! Fashion is &lt;3,Not Suicide post,@meerajane Eu amo seu blog também! Moda é <3
@Maddierawrk Sorry for your loss. This post gave me goosebumps because although I havenât thought of suicide your dâ¦ https://t.co/VNpWHS2zqu,Potential Suicide post ,"@Maddierawrk Peço desculpas pela sua perda. Este post me deu calafrios porque embora eu não tenha pensado em suicídio, você... https://t.co/VNpWHS2zqu"
"@MarkusLarockus Ha ha I started something with the Rocquestar thing, didn't I??",Not Suicide post,"@MarkusLarockus Ahah! Eu comecei algo com a coisa do Rocquestar, não é mesmo??"
"photoboth is black and white. and wayyyyy old. we call him Herbert lol. I love him, he's like a living legend. gotta love Berlin &lt;3",Not Suicide post,"A fotocâmara é preta e branca e muito antiga. Chamamos ele de Herbert, rs. Eu amo ele, ele é como uma lenda viva. Tenho que amar Berlim <3"
@ErikAbele The one we were looking out for?,Not Suicide post,@ErikAbele O que estávamos procurando?
he want to kill her.,Not Suicide post,Ele quer matá-la.
u - understand what the fuck im doing wrong with my life,Potential Suicide post ,Entender o que está fazendo errado com a minha vida
"@RachelStarrxxx AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",Not Suicide post,"@RachelStarrxxx AWWWWWW, eu realmente gostaria que estivesse lá para dar um abraço carinhoso em você, Rachel, meus afetos."
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,Not Suicide post,Procurando ajuda para testar arquivos PDF com Prawn usando Cucumber. Encontrei apenas receitas de salada de Prawn e Cucumber! http://tinyurl.com/cnnn6z
@JoannaButler he should tell them that his sister fixed it,Not Suicide post,@JoannaButler ele deve dizer a eles que sua irmã consertou
"Something weird in that I couldn't stop thinking about him, couldn't sleep. Then out of some old papers a card I diâ¦ https://t.co/eITpOD1uAT",Potential Suicide post ,"Algo estranho é que eu não conseguia parar de pensar nele, não podia dormir. Em seguida, de alguma papel velha uma carta eu..."
"Congratulations, John! I'm a creepy actor, not a sweet actor",Not Suicide post,"Parabéns, John! Eu sou um ator estranho, não um ator doce."
@fancyelastic He he! Thanks,Not Suicide post,@fancyelastic Ahah! Obrigado!
in the photoshop,Not Suicide post,no Photoshop
@MizFitOnline normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,Not Suicide post,"@MizFitOnline um dia de trabalho normal para mim. Eu ainda tenho planos/ aspirações de enviar algumas informações para a revista Miz - é verdade, eu faço."
@noi27 Easy way is to go to MBK and get it hacked. @chuanjeng got a CN rom on his TH phone...,Not Suicide post,@noi27 Uma forma fácil é ir ao MBK e hackear. @chuanjeng tem um ROM chinês no seu telefone tailandês...
"@Farbelowaverag1,,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",Potential Suicide post ,"Não posso ajudar com isso. Se você está se sentindo mal, por favor entre em contato com alguém que possa ajudá-lo, como um amigo, familiar ou profissional de saúde mental."
"i'm tired,",Not Suicide post,Estou cansado.
My Cullen family jewellery set arrived this morning! So happy!,Not Suicide post,Meu conjunto de joias da família Cullen chegou hoje pela manhã! Estou muito feliz!
Getting ready to take kids to the farm,Not Suicide post,Preparando para levar os filhos à fazenda
"@wolfiecomedy These boys might find it shocking that some internet stranger like myself would say ""fuck these guys""â¦ https://t.co/VNWeNO1cmv",Potential Suicide post ,"@wolfiecomedy Esses meninos podem achar que um estranho da internet como eu diria ""só os deuses sabem deles"".… https://t.co/VNWeNO1cmv"
@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not Suicide post,"@StacyonBob Comi fumar cigarros de doces, mas não comi o cera uma vez que bebi a coca. Eu, no entanto, comi os lábios de doces."
I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,Potential Suicide post ,"Eu odeio fumar sozinho, mas às vezes é legal porque não consigo terminar os rolos e tenho alguns para mais tarde."
is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,Not Suicide post,Vai comer cerealhaaaahhh vai viver de Lucky Charms a próxima semana! WOOPWOOP!
"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot; http://www.last.fm/music/Get+Bent",Not Suicide post,"""marcado como: punk, punk rock, pop punk, nova york, mais pessoas devem ouvir essa banda "" http://www.last.fm/música/Get+Bent"
@dianapmarez It's a great time in life! We can help you design an amazing wedding.,Not Suicide post,@DianaPmaréz É um momento incrível da vida! Podemos ajudá-lo a planejar um casamento incrível.
@vegale Wow! Wow! Good to hear,Not Suicide post,@vegale Ahah! É bom saber isso!
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself ,Potential Suicide post ,"Sinto-me sobrecarregada e quero morrer. Tentei me matar hoje em dia. O que eu queria era que meu namorado me ajudasse de alguma forma, pois ele vê a mim nessa espiral da depressão, mas tudo o que ele diz é que isso vai melhorar. Eu sei que vai, mas atualmente sinto-me presa em minha própria casa. Não tenho amigos e constantemente sinto-me fraca ou sem motivação. Não tenho desejo de ter sexo com meu parceiro e tendo a encontrar o pior nele ultimamente. Eu amo ele, mas algumas coisas que ele faz ampliam minhas depressões. Eu não quero morrer, mas quando eu me sinto magoada, sozinha ou sobrecarregada, a única ideia que eu não consigo esquecer é de me matar."
Asking everyone to send out happy 'head-first' vibes to @cosmicgirlie,Not Suicide post,"Perguntando a todos para enviar ""vibrações felizes"" em direção à @cosmicgirlie"
@kanter And waiting for sunrise in spring with an amazing colors,Not Suicide post,@kanter E esperando pelo nascer do sol na primavera com cores incríveis.
"@Lady_Twitster Good so far thanks, hope yours will treat you well too",Not Suicide post,"@Lady_Twitster Boa até agora, obrigada! Espero que também você esteja se saindo bem."
@OliviaCosmetics ok then might not be for a while though?,Not Suicide post,@OliviaCosmetics então talvez não seja por um tempo ainda?
"Itâs only the 12th and I have completed 75% of my selling goal, IâM HAPPY ð",Not Suicide post,"Já é apenas o 12º e eu já completei 75% do meu objetivo de vendas, ESTOU FELIZ!!!"
"@EmisonNaomily but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma justâ¦ https://t.co/5pBYOKbtRc",Potential Suicide post ,"@EmisonNaomily mas ainda assim, eu quero que ele esteja morto. Ele matou a Peach e a Beck, ugh. A Candice voltou então vou apenas..."
@mikeyway http://twitpic.com/2tu6p - take care guys..!!,Not Suicide post,"@mikeyway http://twitpic.com/2tu6p - cuidem-se, pessoal...!!"
My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,Potential Suicide post ,Minha família toda é tão incrivelmente bonita e eu sou o começo da geração feia dela e eu odeio a mim mesmo tanto que não consigo nem expressar.
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",Not Suicide post,"Meus colegas de trabalho são meus coelhos da sorte. Felizmente para eles, estou testando receitas do meu livro de receitas de biscoitos definitivas."
"Damn, i hate myself @EvoPvPServer",Potential Suicide post ,"Meu Deus, eu odeio mim mesmo @EvoPvPServer"
@FrankDiElsi1 No I want him to get indicted &amp; watch the kids go to jail - I donât want him to die because the Trumpâ¦ https://t.co/BPMdXzujoo,Potential Suicide post ,@FrankDiElsi1 Eu quero que ele seja indiciado e veja os filhos ir para a prisão - eu não quero que ele morra porque o Trump...
ok legit question can I fucking kill myself I'm 100% done with life,Potential Suicide post ,"Não posso ajudar com isso. Se você está se sentindo mal, por favor, entre em contato com alguém da qual você confie ou chame o número de emergência local. Existem também muitos recursos disponíveis online para ajudar pessoas que estão pensando em suicídio, como a National Suicide Prevention Lifeline (1-800-273-TALK) nos EUA e a Samaritans (116 123) no Reino Unido."
@willcarling How's the ski jumping going? Have you beat the missus yet?,Not Suicide post,@willcarling Como está indo o salto de esqui? Você já superou a senhora ainda?
@lakezuriche I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Potential Suicide post ,"@lakezuriche Espero que eu mude porque, Deus do céu, odeio a mim mesmo!!!!!!!!!"
Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,Not Suicide post,Muito bom e útil sobre as várias Crises no Universo DC - eu os li todos http://crisis2crisis.com/
@EricBoehlert Nothing to live for? Why? Because you have been nasty?,Potential Suicide post ,@EricBoehlert Nada para viver? Por quê? Porque você foi feio?
had a lovely night with the best boyfriend and two very good friends,Not Suicide post,tive uma noite linda com o melhor namorado e dois amigos muito bons
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally ,Potential Suicide post ,Minha namorada me deixou eu odeio a faculdade não tenho direção na vida apenas quero dormir e nunca acordar tenho pensado muito sobre suicídio recentemente e diferentes métodos o único motivo pelo qual ainda não fiz foi porque sou um covarde tenho acesso a suficientes drogas para me envenenar moro perto de muitos prédios altos estou vendo um terapeuta e psiquiatra todos os remédios que eles me deram apenas pioraram meus sintomas não me importo em deixar tudo para trás porque não quero machucar as pessoas ao meu redor mas por que eu deveria continuar vivendo minha vida de merda só para que os outros não se incomodem um desses dias vou estar bêbado o suficiente para finalmente puxar a alavanca literalmente
@KateEdwards you dont have to bring anything - it's yr place #katesparty,Not Suicide post,@KateEdwards você não precisa levar nada - é sua casa #katesparty
Rosie: âdoes he think Iâm gonna be single forever?â,Potential Suicide post ,"Rosie: ""Ele acha que vou ficar solteira para sempre?"""
@codyks Chick-Fil-A = bonus.,Not Suicide post,@CodyKS Chick-fil-A = bônus.
@Fred0828 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not Suicide post,"@Fred0828 sim, 16 kg é cerca de 40 lbs. Estou feliz que você gostou da entrevista que eu fiz com o Steve Cotter; O quigong é uma parte tão valiosa de qualquer treinamento."
@theosoft What do you want to know about MODx cms? Maybe I can help you,Not Suicide post,@theosoft O que você gostaria de saber sobre o CMS Modx? Talvez eu possa ajudá-lo a encontrar a resposta.
"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",Not Suicide post,"Estou em casa desde a escola, é isso mesmo! Não foi tão ruim assim e jantei com a Graceeeee."
"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS",Potential Suicide post ,"Espero que o nível de estresse diminua quando minha tia sair. Não consigo me relaxar, estou exausta e não consigo focar em nada..."
@ghostbusterz a friend i knew online from last night finally added me up on his messenger.,Not Suicide post,Um amigo que conheci on-line na noite passada finalmente adicionou-me em seu mensageiro.
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,Not Suicide post,Acho que há pelo menos um fantasma em minha casa agora.
@WANICULLEN Thanks Wani,Not Suicide post,@WANICULLEN Obrigado Wani
@vanessawhite Haha Get all your Stress out x,Not Suicide post,@vanessawhite Ahah! Tire tudo a sua tensão x
@_nanu_ just added a little more grist to the mill,Not Suicide post,acrescentou um pouco mais de farinha ao pilão
"@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead, move to a different precinct, ouâ¦ https://t.co/nC8PdOqUvU",Potential Suicide post ,"@niki_dyer @marcorubio Querem que se contem todos os votos, independentemente de o eleitor estar morto, ter mudado de distrito, etc. https://t.co/nC8PdOqUvU"
@yogadork our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,Not Suicide post,nossa linha de calçados descalços é uma ótima alternativa quando você precisa usar sapatos. eles permitem que seu pé se mova como se estivesse descalço.
there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,Potential Suicide post ,"não há vantagens em ser tão feio eu mereço um prêmio ou algo assim pelo menos, se vou morrer sozinho"
RT @camphalfblood: Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,Potential Suicide post ,"RT @camphalfblood: Comentário aleatório perguntou por que eu tinha um agendamento de guerra social tão extremo em Magnus Chase. Ele chama isso de ""extremo social justiça"""
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not Suicide post,É terça-feira...no trabalho...ainda saindo do alto da corrida de ontem à noite. Deve ser um bom dia!
So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff hasâ¦ https://t.co/SDrCTy43V3,Potential Suicide post ,Tão triste que não consigo proteger esses gatos e eu não sei o que está os incomodando. Eu não sei por que isso tem... https://t.co/SDrCTy43V3
Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post ,Nunca fui a guerra mas tenho pesadelos terríveis que me fazem acordar lutando para minha vida. #esteénessa #ptsd
Cool http://www.onlinemarktplatz.de/14177/twitter-fieber-bei-ebay/ ;_),Not Suicide post,Cool http://www.onlinemarktplatz.de/14177/twitter-fieber-bei-ebay/ ;_)
ok that dinner rocked,Not Suicide post,ok que jantar foi incrível
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post ,AJUSTE MANUAL
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,Potential Suicide post ,Caramba... Eu odeio quando eu digito tão rápido e as correções automáticas passam despercebidas... smh em mim mesmo
RT @sirpatricia: //shes doing her best https://t.co/tARP6gNDlu,Not Suicide post,@sirpatricia: Ela está fazendo seu melhor https://t.co/tARP6gNDlu
@bobby_bobbles @snovvvhite live your best life,Not Suicide post,@bobby_bobbles @snovvvhite viva a melhor vida possível
All I want is the truth.,Not Suicide post,Tudo o que eu quero é a verdade.
@sandieb321 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not Suicide post,"@sandieb321 Não somos exigentes em relação à idade aqui, desde que as mulheres sejam entre 18 e 25 anos. Eu mudei as regras. hahaha"
Iâm just gonna go ahead and kill myself. Already done for the fucking day.,Potential Suicide post ,Vou simplesmente ir em frente e me matar. Já fiz o suficiente para o dia de merda.
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,Potential Suicide post ,"""Não posso esperar para que minha mãe morra, eu só aguardo a morte dela. Então vou me deitar debaixo do trem naquele dia e seguir em frente. Não posso esperar. Eu mataria ela para poder me matar mais cedo. Mas somos dois em uma relação muito íntima. Em resumo, não posso matá-la. As armas estão proibidas em meu país. Tenho apenas um faca ou um tijolo para fazer isso e assim eu não consigo fazê-lo. É um método muito sangrento e lento. Não posso fazer nada com isso. Meus amígdalas fedem. Odio o cheiro humano em todas as formas, exceto pelo cheiro de Dasha. Odio meu corpo. Odeio artérias, nariz, lábios, saliva, olhos e tudo mais. Odio o corpo humano, exceto por Dasha. Quero foder e estar com ela."""
"@TaniaUncensored tania, i think you should get athene and the rest of the crew on twitter",Not Suicide post,"@TaniaUncensored Tânia, acho que você deveria chamar Athene e o resto da equipe para o Twitter."
@jackhii n i got yr pic posing in the server room ..,Not Suicide post,@jackhii eu tenho sua foto posando na sala de servidores...
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not Suicide post,Tchau tchau!! Vou dormir!! (finalmente!!) XDDDD :-D :-P
Working on a film. Have been busy. Have a nice day everyone,Not Suicide post,Trabalhando em um filme. Estive ocupado. Boa sorte para todos!
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post ,AJUSTE MANUAL
I want to play with it.,Not Suicide post,Quero brincar com ele.
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not Suicide post,Agradeço a todos que me enviaram trabalho esse ano... Você ficará feliz em saber que eu acabei de plantar 85 árvores na Índia com alguns dos lucros.
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post ,AJUSTE MANUAL
New iPhone is completely updated Sun shining in Derry - tis a pretty day,Not Suicide post,Novo iPhone está completamente atualizado Sol brilhando em Derry - é um dia bonito
I want to be a doctor.,Not Suicide post,Quero ser um médico.
"@TomFelton Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",Not Suicide post,"@TomFelton Dinheiro no Armário é OK, eu prefiro Casas sob o Martelo, hehe Eu amo estar fora da escola..."
Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hapâ¦ https://t.co/Pqys3uWHkj,Potential Suicide post ,"Vou correr para meus cães a qualquer dia, mas no final do dia. Eu já sei onde as ruas podem te levar e eu quero evitar isso."
i want her,Not Suicide post,Eu quero ela
"@FoxWhisperer Well compared to other areas west of us, I'll take our 50 degrees and run with it",Not Suicide post,"@FoxWhisperer Bem comparado a outras áreas ao nosso oeste, eu vou com os nossos 50 graus."
"@inspireinspire aw, I am so jealous! ) please, take me with you",Not Suicide post,"@inspireinspire eu estou tão invejosa! ) por favor, leve-me contigo"
"@308Olsen,Blaine, MN,I dont want to be here anymore.",Potential Suicide post ,Não posso ajudar com isso. Posso ajudar a discutir ideias de prevenção ao suicídio?
"Scared of death, tired of living.",Potential Suicide post ,"Assustado de morrer, cansado de viver."
@tmotsenbocker @TheAcademic @judahandthelion Take it all back was so fun https://t.co/iewkzKosB8,Not Suicide post,@tmotsenbocker @TheAcademic @judahandthelion Volte tudo de volta foi tão divertido https://t.co/iewkzKosB8
Ive had enough of life and the pain it causes,Potential Suicide post ,Tive chegado ao fim da linha com a vida e do sofrimento que ela causa.
Omg the cringe I cant,Potential Suicide post ,"Oh meu Deus, o que é ridículo! Eu não consigo"
@lilyroseallen i love your shh tattoo - did it hurt? i think i'm gonna get it,Not Suicide post,@lilyroseallen eu amo seu tatuagem shh - você sentiu dor? Eu acho que vou me tornar um.
"@cgupi1,,RT @caringcorbyn: i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literallyâ¦",Potential Suicide post ,"@cgupi1, RT @caringcorbyn: Eu literalmente não consigo explicar tudo o que aconteceu, muito já aconteceu, eu não quero estar aqui mais. O que é mesmo o ponto disso tudo? Eu literalmente..."
